,Date,Price,Open,High,Low,Change,DATE,DAILY TONNAGE,Tonnage,Grade,RecoveryPct,Gold_Return,Cumulative_Tonnage,Recovery_MA7
148,2018-03-20,1314.5,1319.4,1319.6,1309.3,-0.0044,2018-03-20,144,144,200.0,88.5,-0.011505489547300352,18107,88.44136542705961
149,2018-03-27,1344.7,1355.2,1358.5,1342.4,-0.0095,2018-03-27,86,86,292.0,93.83561643835615,0.02297451502472425,18193,89.28190959983682
150,2018-04-03,1337.3,1345.0,1346.6,1332.7,-0.0071,2018-04-03,71,71,197.0,86.29441624365482,-0.0055030861902283235,18264,88.64265038189741
151,2018-04-10,1345.9,1339.8,1346.2,1334.2,0.0043,2018-04-10,95,95,174.0,86.20689655172413,0.00643086816720273,18359,88.08507987358799
152,2018-04-17,1349.5,1349.1,1352.2,1340.2,-0.0009,2018-04-17,159,159,192.0,88.54166666666666,0.0026747901032766475,18518,88.62587546011528
153,2018-04-24,1333.0,1326.1,1334.5,1323.6,0.0068,2018-04-24,127,127,193.0,84.97409326424871,-0.012226750648388296,18645,88.04726160587903
154,2018-05-01,1309.9,1311.0,1311.4,1311.0,-0.0094,2018-05-01,125,125,201.0,86.56716417910447,-0.017329332333083203,18770,87.84569333482214
155,2018-05-08,1316.8,1316.7,1321.2,1309.7,-0.0003,2018-05-08,102,102,221.0,90.9502262443439,0.0052675776776851535,18872,88.1957256554427
156,2018-05-15,1293.4,1316.9,1317.2,1292.1,-0.021,2018-05-15,103,103,232.0,90.08620689655172,-0.017770352369380182,18975,87.6600957208992
157,2018-05-22,1294.6,1294.5,1298.0,1289.9,0.0009,2018-05-22,129,129,296.0,93.91891891891892,0.000927787227462451,19104,88.74931038879406
158,2018-05-29,1301.6,1302.8,1309.0,1294.7,0.002,2018-05-29,125,125,251.0,92.43027888446214,0.0054070755445696506,19229,89.63836500775665
159,2018-06-05,1302.2,1296.4,1304.8,1293.5,0.0038,2018-06-05,135,135,236.0,88.5593220338983,0.0004609711124770044,19364,89.64088720307544
160,2018-06-12,1299.4,1304.5,1304.8,1296.3,-0.0029,2018-06-12,88,88,197.0,89.34010152284264,-0.002150207341422128,19452,90.26460266858886
161,2018-06-19,1278.6,1280.7,1286.8,1272.6,-0.0012,2018-06-19,136,136,208.0,90.8653846153846,-0.016007388025242597,19588,90.87863415948603
162,2018-06-26,1259.9,1267.3,1269.4,1256.4,-0.0071,2018-06-26,104,104,242.0,92.56198347107438,-0.014625371500078033,19692,91.1088851918761
163,2018-07-03,1256.4,1244.9,1259.3,1242.1,0.0095,2018-07-03,104,104,196.0,86.73469387755102,-0.0027779982538296277,19796,90.63009761773313
164,2018-07-10,1258.7,1261.6,1263.5,1251.3,-0.0032,2018-07-10,98,98,243.0,88.06584362139918,0.0018306271887933434,19894,89.79394400380177
165,2018-07-17,1229.9,1243.2,1247.4,1228.8,-0.0099,2018-07-17,165,165,203.0,87.68472906403942,-0.022880749980138226,20059,89.11600831516994
166,2018-07-24,1228.2,1227.3,1232.2,1221.0,0.0002,2018-07-24,163,163,186.0,85.48387096774194,-0.0013822261972518124,20222,88.6766581628619
167,2018-07-31,1228.5,1224.9,1232.6,1217.6,0.0017,2018-07-31,108,108,234.0,88.46153846153845,0.0002442598925256334,20330,88.55114915410414
168,2018-08-07,1213.3,1211.0,1219.2,1210.9,0.0006,2018-08-07,114,114,261.0,89.272030651341,-0.012372812372812403,20444,88.32352715924078
169,2018-08-14,1196.1,1196.3,1200.9,1194.5,0.0016,2018-08-14,144,144,209.0,86.1244019138756,-0.01417621363224264,20588,87.4038726510695
170,2018-08-21,1195.5,1193.0,1199.8,1190.0,0.0045,2018-08-21,127,127,225.0,91.55555555555556,-0.0005016302984699461,20715,88.09256717649873
171,2018-08-28,1209.5,1212.8,1215.7,1201.0,-0.0014,2018-08-28,153,153,196.0,87.75510204081633,0.011710581346716875,20868,88.04817552212975
172,2018-09-04,1196.6,1201.8,1204.8,1193.3,-0.0021,2018-09-04,106,106,269.0,89.59107806691449,-0.010665564282761553,20974,88.32051109396905
